category,points,question,answer
Get Data,100,Launch Agency copilot with MCP servers enabled,agency copilot --mcp sharepoint --mcp workiq
Get Data,200,Who was the last person you sent an email to?,"Using WorkIQ, go to my 'Sent' items in Outlook and fetch only the name of the contact from my last sent email. If there are multiple, return only the first person found."
Get Data,300,Screen-scrape the title and publish date of the latest post on the Official Microsoft Blog (blogs.microsoft.com).,"Fetch https://blogs.microsoft.com, find the most recent blog post, and return its title, author, and publish date by reading the page"
Process Intelligently,100,How many people in Uruguay use AI daily?,Download AI Diffusion data from https://github.com/microsoft/ai-diffusion-report/ and write and run a script that prints the exact AI diffusion stats for Uruguay in Q1 2026 and compare to the average Q1 2026 diffusion across all economies. Show the code and its output.
Process Intelligently,200,Which economy's daily AI use grew the most last quarter?,"Download the AI Diffusion data from https://github.com/microsoft/ai-diffusion-report/ and write and run a script that computes each economy's change from H2 2025 to Q1 2026, then prints the economy with the largest increase and its exact delta, plus the top 5. Show the code and its output."
Process Intelligently,300,"Fact check! Verify Microsoft's 'The State of Global AI Diffusion in 2026"" blog post with the real data","Starting from only https://aka.ms/DiffusionReport2026Q1, follow its links to the public dataset on GitHub and download it. Then write and run code to fact-check the article's numeric claims (economies above 30%, the UAE rate, the US rate) against the data. Output a table: claim, article_value, computed_value, verdict — and flag any claim the dataset can't verify."
Visualize,100,Visualize data from this SharePoint List: https://microsoft.sharepoint.com/teams/CELASPEAR245/Lists/Contract%20Review%20Tracker%20fake/AllItems.aspx,"Using the SharePoint MCP server, read the items from this List in ONE call: https://microsoft.sharepoint.com/teams/CELASPEAR245/Lists/Contract%20Review%20Tracker%20fake/AllItems.aspx. As soon as you have the items, write and run a short Python script that generates a single self-contained, plain static HTML file with no dependencies that visualizes the data as a bar chart grouped by status and saves it to contract_review_chart.html. Render a clickable link in my terminal"
Visualize,200,"Which attorneys are carrying the most contract value, and how much of the work is high priority? Build a dashboard from this SharePoint List: https://microsoft.sharepoint.com/teams/CELASPEAR245/Lists/Contract%20Review%20Tracker%20fake/AllItems.aspx","Using the SharePoint MCP server, read the items from this List in ONE call: https://microsoft.sharepoint.com/teams/CELASPEAR245/Lists/Contract%20Review%20Tracker%20fake/AllItems.aspx. As soon as you have the items, write and run a short Python script that generates a single self-contained, plain static HTML file with no dependencies showing a dashboard with two bar charts: (1) total ContractValue summed by AssignedAttorney, and (2) count of contracts by Priority. Save it to contract_dashboard.html. Don't explore other tools or packages. Render a clickable link in my terminal."
Visualize,300,What needs attention now? Turn this Contract Review Tracker into a deadline-risk dashboard that flags what is overdue and due soon: https://microsoft.sharepoint.com/teams/CELASPEAR245/Lists/Contract%20Review%20Tracker%20fake/AllItems.aspx,"Using the SharePoint MCP server, read the items from this List in ONE call: https://microsoft.sharepoint.com/teams/CELASPEAR245/Lists/Contract%20Review%20Tracker%20fake/AllItems.aspx. As soon as you have the items, write and run a short Python script that generates a single self-contained, plain static HTML file with no dependencies that acts as a deadline-risk dashboard: at the top show three summary tiles (count overdue, count due within 30 days, count due later); below that a table of all contracts sorted by DueDate showing Title, Counterparty, AssignedAttorney, DueDate, Priority and a computed days-until-due based on today's date, with overdue rows highlighted red and rows due within 30 days highlighted amber. Save it to contract_deadline_dashboard.html. Don't explore other tools or packages. Render a clickable link in my terminal."
Productionalize,100,Stop re-pulling the same SharePoint list every time. Fetch the Contract Review Tracker once and save it locally so you can build on it: https://microsoft.sharepoint.com/teams/CELASPEAR245/Lists/Contract%20Review%20Tracker%20fake/AllItems.aspx,"First outline a brief plan for my review, then carry it out. Using the SharePoint MCP server, read the Contract Review Tracker items in ONE call from https://microsoft.sharepoint.com/teams/CELASPEAR245/Lists/Contract%20Review%20Tracker%20fake/AllItems.aspx. Then write and run a short Python script that saves those items to a local file data/contracts.csv (columns Title, Counterparty, AssignedAttorney, ContractValue, DueDate, ContractType, ReviewStatus, Priority) so we only fetch from SharePoint once and reuse the local copy from now on. Don't explore other tools or packages. Finish by confirming the saved file path, the number of rows, and the column names."
